,County,Cattle_Dairy,Cattle_Beef,Wool_sheep,Hair_Sheep,Goats_Dairy,Goats_Meat,Pigs,Rabbits,Broilers,Layers,Indigenous Chicken,Improved Indegenious Chicken,Turkeys,Ducks,Geese,Guinea Fowl,Pigeons,Doves,Quails,Donkeys,Camels,Hives_Log,Hives_Ktbh,Hives_Lang,Hives_Box,Cab Hive,Ostrich,Horses,Crocodile,,,,
29,Muranga," 322,118 "," 36,536 "," 18,459 "," 41,841 "," 79,663 "," 107,095 "," 48,373 "," 64,284 "," 95,759 "," 558,391 "," 983,105 ",," 4,135 "," 4,245 "," 3,643 "," 1,828 "," 1,027 ", 935 , 150 ," 1,012 ",," 13,362 "," 7,588 "," 7,467 ", 871 ,, 5 ,,,,,,
30,Nairobi," 13,390 "," 14,485 ", 6 ," 13,334 "," 4,412 "," 21,810 "," 18,200 "," 24,974 "," 269,974 "," 139,005 "," 238,043 ",," 4,792 "," 12,927 "," 5,021 "," 3,070 "," 2,386 "," 2,431 ", 535 , 400 , 3 , 99 , 473 , 275 ,,,,,,,,,
31,Nakuru," 466,779 "," 251,150 "," 259,503 "," 537,937 "," 47,593 "," 298,170 "," 27,517 "," 66,376 "," 164,613 "," 301,737 "," 1,559,545 ",," 15,803 "," 17,755 "," 15,286 ", -   , -   , -   , -   ," 21,490 ",," 27,861 "," 17,510 "," 6,944 ", 319 ,,,,,,,,
32,Nandi," 182,667 "," 72,882 "," 10,413 "," 102,002 "," 3,606 "," 31,339 "," 1,105 "," 4,197 "," 23,542 "," 62,523 "," 547,042 ",, 397 , 549 , 399 ," 2,451 ",,,," 4,588 ",," 1,752 "," 9,472 "," 8,088 ",,,,,,,,,
33,Narok," 101,940 "," 1,387,727 "," 73,196 "," 2,649,020 "," 4,927 "," 956,090 "," 2,530 "," 3,994 "," 5,001 "," 58,987 "," 768,238 ",, 309 , 878 , 394 , 150 , 52 , 28 ,," 87,810 ",," 23,781 "," 20,325 "," 5,098 ", 424 ,,,,,,,,
34,Nyamira," 36,380 "," 88,814 ", 320 ," 13,137 "," 1,361 "," 42,767 "," 1,510 "," 3,116 "," 10,787 "," 67,709 "," 499,680 ",, 598 , 622 , 389 , 639 , 54 , 337 , 368 , 758 ,, 261 ," 2,309 "," 2,614 ", 318 ,,,,,,,,
35,Nyandarua," 385,200 "," 40,300 "," 340,200 "," 228,300 "," 20,900 "," 79,500 "," 8,530 "," 56,550 "," 44,000 "," 35,100 "," 832,800 ",," 9,940 "," 12,220 "," 12,720 ", 10 ,, 560 ,," 8,420 ",," 10,850 "," 6,720 "," 6,178 ", 670 ,,,,,,,,
36,Nyeri," 188,500 "," 2,200 "," 5,290 "," 156,560 "," 53,195 "," 73,990 "," 13,115 "," 28,680 "," 186,800 "," 117,490 "," 781,940 ",," 2,020 "," 1,795 "," 1,930 ", 355 , 255 , 60 , 65 , 739 ,," 2,880 "," 4,480 "," 7,040 ", 390 ,#REF!, 11 ,,,,,,
37,Samburu," 6,001 "," 274,606 ",," 526,317 "," 3,732 "," 606,766 ", 744 , 343 ," 1,538 "," 3,497 "," 171,592 ",, 71 , 105 , 58 , 42 , 168 ,,," 20,761 "," 60,018 "," 14,164 "," 2,932 "," 3,112 ", 1 , -   ,,,,,,,
38,Siaya," 12,568 "," 504,124 ",," 227,135 "," 9,769 "," 402,068 "," 20,260 "," 18,522 "," 144,020 "," 120,798 "," 1,278,109 ",," 4,870 "," 9,331 "," 2,312 "," 2,330 ",, 741 ," 4,584 "," 11,020 ", 9 , 216 ," 3,878 "," 16,077 ",,#REF!,,,,,,,
39,Taita Taveta," 32,981 "," 158,925 ",," 64,096 "," 5,221 "," 372,333 "," 2,725 "," 14,582 "," 71,207 "," 204,880 "," 796,494 ",, 844 ," 11,421 ", 725 ," 2,225 ", 842 ,,," 3,894 "," 1,242 "," 5,494 "," 2,254 "," 5,684 ", 551 , -   ,,,,,,,
40,Tana River, 125 ," 515,558 ", -   ," 320,385 "," 1,098 "," 908,620 ", 54 , 419 ," 2,506 "," 9,099 "," 110,366 ",," 23,266 "," 9,201 "," 11,087 "," 1,083 "," 7,219 ",,," 27,012 "," 71,657 "," 14,514 ", 733 ," 8,135 ", 125 ,#REF!,,,,,,,
41,Tharaka Nithi," 76,675 "," 92,777 ", -   ," 57,512 "," 22,815 "," 1,140,089 "," 16,503 "," 101,271 "," 25,491 "," 45,660 "," 541,772 ",, 414 ," 3,185 "," 11,827 ", 275 ," 1,003 ", 569 , -   ," 4,662 ",," 153,241 "," 1,617 "," 15,145 ", - , -   ,,,,,,,
42,Trans-Nzoia," 211,168 "," 8,379 "," 4,570 "," 157,324 "," 6,527 "," 39,612 "," 8,353 "," 4,943 "," 23,414 "," 262,668 "," 1,147,425 ",," 7,770 "," 7,759 "," 9,382 "," 1,352 ",,,," 6,019 ",," 4,070 "," 9,193 "," 10,337 ", - ,#REF!,,,,,,,
43,Turkana, 13 ," 3,599,189 ",," 6,651,163 ", 443 ," 8,060,906 ", 346 , 26 , 200 ," 2,780 "," 1,037,758 ",," 7,664 "," 15,145 ", 627 , 473 ," 129,243 ",,," 542,908 "," 1,055,246 "," 3,656 "," 7,977 "," 6,018 ", - , -   ,,,,,,,
44,Uasin Gishu," 349,714 "," 43,622 "," 40,269 "," 141,105 ", 913 ," 89,041 "," 17,251 "," 12,570 "," 44,305 "," 44,350 "," 710,235 ",, 684 ," 1,170 ", 927 , 267 ,," 1,032 ",," 5,700 ", 6 ," 2,461 "," 15,385 "," 10,018 ", 18 ,#REF!, 22 ,,,,,,
45,Vihiga," 45,910 "," 118,750 ",," 3,840 "," 8,350 "," 4,800 "," 3,670 "," 5,395 "," 8,160 "," 10,400 "," 924,100 ",," 2,940 "," 4,060 "," 1,994 "," 2,760 ", 520 ,," 2,100 ", 55 ,, 120 , 600 ," 3,670 ", -   , -   , 6 ,,,,,,
46,Wajir, 37 ," 749,849 ",," 2,120,701 ", 32 ," 2,991,769 ",, 12 ," 11,904 "," 19,350 "," 486,719 ",,,,,,,,,," 1,209,342 ", 74 ," 1,640 ", 645 ,#REF!,#REF!,#REF!,,,,,,
47,West Pokot," 132,545 "," 538,879 "," 100,104 "," 555,941 "," 1,753 "," 818,809 ", 778 ," 7,279 "," 2,760 "," 11,307 "," 816,161 ",," 33,488 "," 18,893 "," 8,538 ",, 50 ,,," 3,395 "," 21,343 "," 71,599 "," 10,739 "," 11,092 ", -   , -   , -   ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
